system:index,B11_t27,B12_t27,B2_t27,B3_t27,B4_t27,B5_t27,B6_t27,B7_t27,B8A_t27,B8_t27,class,class_name,zone,.geo
3667_0,2145.5,1105.0,480.5,959.0,648.0,1760.0,3033.0,3479.5,3815.0,3556.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76173388865791,35.575890365457]}"
3668_0,3171.5,2433.0,636.0,770.0,950.0,1192.5,1369.0,1480.0,1775.0,1557.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3091626485185,35.54391034134234]}"
3669_0,1989.0,962.0,451.0,723.5,461.5,1117.0,2793.5,3214.0,3464.0,3228.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.76137456254426,35.59798892144634]}"
3670_0,2427.0,1577.0,583.0,714.0,698.0,1121.0,1703.0,1895.0,2123.0,1948.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.38246517570265,35.647575925129736]}"
3671_0,3577.5,2745.0,845.0,1042.0,1286.0,1609.5,1762.0,1928.0,2165.0,1951.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29191499506341,35.7683094993154]}"
3672_0,2928.0,2638.5,724.5,853.0,1095.0,1277.0,1337.0,1479.5,1663.0,1448.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.24538226334602,35.64901322958433]}"
3674_0,2649.0,1900.0,1057.0,1306.0,1527.0,1795.0,1928.5,2007.5,2135.0,1792.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.24987383976661,35.46126533520334]}"
3675_0,3343.0,2638.0,877.0,1027.5,1237.0,1469.0,1625.5,1768.0,2015.5,1890.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61405085594866,35.61505691184461]}"
3676_0,2410.0,1527.0,906.0,1211.0,1125.0,1795.5,2554.0,2777.0,3084.0,2861.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2220260659589,35.59852791061681]}"
3677_0,3221.5,2427.0,827.0,960.0,1205.0,1445.0,1553.5,1650.5,1878.0,1657.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.20190380359463,35.70938001667716]}"
