pixel_id,class_name,zone,time_step,DOY,year,temperature_2m_C,dewpoint_temperature_2m_C,total_precipitation,temp_norm,prec_norm,dew_norm,.geo
AR_Z2_00116,Corn,2,15,150,2021,22.90249017079674,17.09448451995854,0.00216381587974821,0.7719393559343777,0.03286762072468512,0.8055347738656825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.35015712658159]}"
AR_Z2_00117,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00119,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00121,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00125,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00135,Corn,2,15,150,2021,22.616455014546716,17.433628400166867,0.001848319965589488,0.759302999583551,0.02822608960952851,0.8108545804260319,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.95042060521622,34.15015621172522]}"
AR_Z2_00138,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00141,Corn,2,15,150,2021,22.84660638173426,17.39201869964603,0.0015654869543894575,0.7687936499729981,0.02311275266287896,0.8058171457190155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.05015575429704]}"
AR_Z2_00145,Corn,2,15,150,2021,22.80974114735926,17.44895229339602,0.0016717618730425284,0.7537557140459339,0.026149938453284456,0.8040991330925089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.05015575429704]}"
AR_Z2_00148,Corn,2,15,150,2021,23.081721941630065,17.296893374125204,0.0016901479346562867,0.7628853941393976,0.022404650850674508,0.7987297028479482,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.15015621172522]}"
AR_Z2_00157,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
AR_Z2_00162,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00163,Corn,2,15,150,2021,22.771793556213424,17.425693829854367,0.001619391936052287,0.7662535784389465,0.025452372652457565,0.8089301958655106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.05015575429704]}"
AR_Z2_00164,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00169,Corn,2,15,150,2021,22.779492123921727,17.369704246520996,0.001985553932550991,0.7613901935852245,0.029172642773738496,0.8075291317729046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.250156669153405]}"
AR_Z2_00170,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00171,Corn,2,15,150,2021,22.90249017079674,17.09448451995854,0.00216381587974821,0.7719393559343777,0.03286762072468512,0.8055347738656825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.35015712658159]}"
AR_Z2_00172,Corn,2,15,150,2021,22.758121681213424,17.338446108500193,0.002017472328482513,0.7521726916167295,0.02977166311574887,0.8034625439335039,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.95042060521622,34.250156669153405]}"
AR_Z2_00173,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00177,Corn,2,15,150,2021,22.84660638173426,17.39201869964603,0.0015654869543894575,0.7687936499729981,0.02311275266287896,0.8058171457190155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.05015575429704]}"
