pixel_id,class_name,zone,lon,lat,soil_ph,soil_clay,soil_organic,.geo
00000000000000000085,Corn,1,-90.57290832860946,35.6802729627305,6.1,19,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.69441328102453]}"
00000000000000000086,Corn,1,-90.2888591324039,35.784299331206334,6.2,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.78424480943649]}"
00000000000000000087,Corn,1,-90.47193644435522,35.7559126939001,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
00000000000000000088,Corn,1,-90.58889866498711,35.846102471807086,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.82916057364246]}"
00000000000000000089,Corn,1,-90.46798568082187,35.78196276225433,6.1,12,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.78424480943649]}"
0000000000000000008a,Corn,1,-90.4886446960025,35.85041442252577,6.1,18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.82916057364246]}"
0000000000000000008b,Corn,1,-90.56751727543585,35.831369601926504,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.82916057364246]}"
0000000000000000008c,Corn,1,-90.65465256912123,35.77100229186497,5.9,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.78424480943649]}"
0000000000000000008d,Corn,1,-90.58548299358017,35.79687399617704,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.78424480943649]}"
0000000000000000008e,Corn,1,-90.25364561138484,35.71171408425834,6.0,23,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.69441328102453]}"
0000000000000000008f,Corn,1,-90.64333537064758,35.47976948386229,6.0,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.46983445999465]}"
00000000000000000090,Corn,1,-90.57883893301054,35.77244258150523,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.78424480943649]}"
00000000000000000091,Corn,1,-90.57685909214281,35.63967284763887,6.2,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.649497516818556]}"
00000000000000000092,Corn,1,-90.5842255270831,35.79867101390159,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.78424480943649]}"
00000000000000000093,Corn,1,-90.53661570513546,35.84125096986094,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.82916057364246]}"
00000000000000000094,Corn,1,-90.29640839048739,35.718540967971165,6.3,19,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.739329045230505]}"
